Track,Album,Year,Duration,Time_Signature,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity
Ring Ring - English Version,Ring Ring,1973,3:05,4,0.55,0.936,9,-6.404,1,0.0404,0.0518,0.00000134,0.255,0.97,137.289,31
"Ring, Ring - Swedish Version",Ring Ring,1973,3:10,4,0.498,0.938,9,-4.565,1,0.0473,0.196,0,0.729,0.943,136.293,31
People Need Love,Ring Ring,1973,2:45,4,0.579,0.681,11,-6.061,1,0.0378,0.494,0,0.177,0.889,78.022,25
"Nina, Pretty Ballerina",Ring Ring,1973,2:51,4,0.736,0.828,0,-7.097,1,0.034,0.177,0.00000159,0.0878,0.875,125.486,25
"Another Town, Another Train",Ring Ring,1973,3:12,4,0.623,0.631,0,-9.002,1,0.0337,0.477,0.0000048,0.157,0.766,123.156,24
Disillusion,Ring Ring,1973,3:03,4,0.58,0.436,7,-9.626,1,0.0282,0.765,0.00000258,0.124,0.407,142.172,23
I Am Just A Girl,Ring Ring,1973,3:01,4,0.431,0.33,4,-10.367,1,0.0301,0.766,0.00013,0.34,0.386,98.934,23
Merry-Go-Round,Ring Ring,1973,3:24,4,0.502,0.643,2,-6.748,1,0.0274,0.141,0.0000606,0.334,0.837,95.69,23
Love Isn't Easy (But It Sure Is Hard Enough),Ring Ring,1973,2:54,4,0.736,0.705,9,-6.456,1,0.0325,0.235,0,0.285,0.94,127.391,22
She's My Kind Of Girl,Ring Ring,1973,2:44,4,0.579,0.747,7,-7.163,0,0.0298,0.092,0,0.349,0.627,128.129,22
Santa Rosa,Ring Ring,1973,2:59,4,0.476,0.766,4,-6.994,1,0.0336,0.0998,0.0000416,0.281,0.487,138.966,22
He Is Your Brother,Ring Ring,1973,3:18,4,0.41,0.843,4,-6.404,1,0.0329,0.177,0.0000024,0.18,0.967,180.399,21
Rock'N'Roll Band,Ring Ring,1973,3:09,4,0.574,0.806,9,-7.651,1,0.0269,0.0945,0.000117,0.167,0.861,133.759,21
I Saw It In The Mirror,Ring Ring,1973,2:33,4,0.766,0.32,5,-11.489,1,0.0387,0.385,0.0000015,0.109,0.444,108.901,20
Me And Bobby And Bobby's Brother,Ring Ring,1973,2:50,4,0.756,0.61,5,-6.268,1,0.0293,0.499,0.00000107,0.0705,0.719,129.594,20
Waterloo,Waterloo,1974,2:48,4,0.445,0.949,2,-4.682,1,0.0471,0.395,0.00000818,0.0902,0.653,147.604,74
"Honey, Honey",Waterloo,1974,2:55,4,0.474,0.804,5,-7.763,1,0.0473,0.309,0.00000181,0.552,0.757,140.507,65
Hasta Manana,Waterloo,1974,3:11,4,0.441,0.583,5,-6.4,1,0.0267,0.544,0,0.143,0.523,169.067,57
Sitting In The Palmtree,Waterloo,1974,3:40,4,0.864,0.33,2,-12.837,1,0.0439,0.754,0.0000095,0.0809,0.885,112.722,41
Dance (While The Music Still Goes On),Waterloo,1974,3:14,4,0.582,0.885,8,-5.794,1,0.0692,0.357,0,0.386,0.485,131.547,40
Honey Honey - Swedish Version,Waterloo,1974,3:01,4,0.422,0.846,9,-4.889,1,0.0795,0.136,0.00000466,0.119,0.46,138.291,35
My Mama Said,Waterloo,1974,3:11,4,0.605,0.717,2,-10.547,1,0.0964,0.521,0.0000648,0.249,0.807,105.339,32
Waterloo - Swedish Version,Waterloo,1974,2:46,4,0.474,0.921,2,-3.397,1,0.0347,0.644,0.00000965,0.0448,0.669,146.818,32
King Kong Song,Waterloo,1974,3:12,4,0.548,0.917,2,-7.788,1,0.0444,0.272,0.00000139,0.091,0.861,155.426,31
Watch Out,Waterloo,1974,3:47,4,0.61,0.882,9,-7.778,1,0.0633,0.0246,0.0109,0.249,0.678,130.553,30
Gonna Sing You My Love Song,Waterloo,1974,3:38,4,0.564,0.455,9,-7.798,1,0.0255,0.567,0,0.0976,0.398,79.728,30
What About Livingstone,Waterloo,1974,2:56,4,0.687,0.668,5,-7.305,1,0.0479,0.499,0.0000112,0.0817,0.855,148.482,29
Suzy-Hang-Around,Waterloo,1974,3:11,4,0.212,0.577,8,-9.83,1,0.0317,0.158,0.0212,0.248,0.617,143.535,28
