Track,Album,Year,Duration,Time_Signature,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity
Stop Messin' Round - Bonus Track: Take 5 Master Single / Remix,Mr. Wonderful,1968,2:50,4,0.37,0.526,0,-8.318,1,0.0366,0.103,0.00000342,0.781,0.643,131.934,9
Stop Messin' Round - Bonus Track: Take 1 - False Start,Mr. Wonderful,1968,4:33,3,0.515,0.437,0,-9.791,1,0.0553,0.185,0.00000407,0.104,0.51,123.11,10
I Held My Baby Last Night - Bonus Track,Mr. Wonderful,1968,4:27,3,0.564,0.195,2,-12.303,1,0.0333,0.547,0.00107,0.053,0.501,74.603,11
Mystery Boogie - Bonus Track,Mr. Wonderful,1968,2:52,4,0.571,0.428,2,-12.486,1,0.0373,0.641,0.927,0.134,0.781,79.741,11
Evenin' Boogie,Mr. Wonderful,1968,2:42,4,0.425,0.632,2,-6.754,1,0.0319,0.273,0.916,0.34,0.909,102.694,14
Lazy Poker Blues,Mr. Wonderful,1968,2:35,4,0.474,0.809,9,-6.369,1,0.0428,0.164,0,0.314,0.754,142.386,14
Trying So Hard to Forget,Mr. Wonderful,1968,4:50,3,0.453,0.0334,2,-22.049,1,0.0569,0.867,0.0000406,0.121,0.417,154.686,14
Doctor Brown,Mr. Wonderful,1968,3:46,4,0.495,0.516,2,-5.972,1,0.0317,0.399,0.0000363,0.416,0.652,104.326,16
Need Your Love Tonight,Mr. Wonderful,1968,3:28,4,0.601,0.661,2,-7.022,1,0.0312,0.624,0.000783,0.306,0.958,113.219,16
If You Be My Baby,Mr. Wonderful,1968,3:53,4,0.597,0.369,7,-8.566,1,0.0298,0.226,0.00000132,0.145,0.773,72.858,16
Rollin' Man,Mr. Wonderful,1968,2:53,3,0.496,0.637,2,-8.133,1,0.0366,0.294,0.0000161,0.0566,0.919,106.217,17
Stop Messin' Round - Take 4,Mr. Wonderful,1968,2:35,4,0.497,0.494,5,-8.963,1,0.0422,0.28,0,0.149,0.531,63.755,19
Dust My Broom,Mr. Wonderful,1968,2:53,4,0.593,0.48,2,-7.596,1,0.0289,0.505,0.0000699,0.381,0.655,102.985,20
I've Lost My Baby,Mr. Wonderful,1968,4:17,3,0.405,0.356,2,-8.962,1,0.0533,0.287,0.00258,0.125,0.282,168.537,21
Coming Home,Mr. Wonderful,1968,2:41,4,0.501,0.44,2,-7.306,1,0.03,0.399,0.0118,0.34,0.718,138.333,24
Love That Burns,Mr. Wonderful,1968,5:04,3,0.522,0.223,2,-12.703,0,0.0354,0.147,0.0000061,0.219,0.292,138.782,28
Searching for Madge - 2013 Remaster,Then Play On,1969,6:56,4,0.323,0.601,11,-16.992,1,0.0462,0.0102,0.795,0.201,0.394,101.866,22
Like Crying - 2013 Remaster,Then Play On,1969,2:25,3,0.523,0.26,2,-15.639,1,0.0298,0.906,0.0408,0.153,0.388,152.849,22
When You Say - 2013 Remaster,Then Play On,1969,4:32,4,0.526,0.0501,11,-17.921,0,0.0386,0.944,0.783,0.116,0.264,79.654,23
Underway - 2013 Remaster,Then Play On,1969,3:05,4,0.408,0.294,2,-20.958,1,0.0288,0.353,0.742,0.109,0.413,103.897,24
My Dream - 2013 Remaster,Then Play On,1969,3:31,4,0.631,0.246,11,-19.408,1,0.037,0.662,0.94,0.104,0.0697,97.493,24
World In Harmony - 2013 Remaster,Then Play On,1969,3:26,4,0.437,0.332,2,-14.63,0,0.0307,0.146,0.789,0.188,0.231,96.225,24
One Sunny Day - 2013 Remaster,Then Play On,1969,3:11,4,0.384,0.506,2,-14.268,1,0.104,0.101,0.161,0.127,0.403,154.828,25
Fighting For Madge - 2013 Remaster,Then Play On,1969,2:42,4,0.494,0.584,6,-14.692,0,0.038,0.00244,0.566,0.113,0.627,100.33,26
